session_id,url,load_time (ms),region,L1 (ms),L2 (ms),L3 (ms),ap-south-1 (w/o cache),ap-south-1 (w cache),w/o cache,w cache,diff w/o cache (Ter-Loc),diff w cache (Ter-Loc)
577c34c62a23b83ae5a2f3b4a310941d109efec6,https://yogavivo.dk/yoga-i-klassen-sadan-virker-det/,2595.522917,ap-south-1,3064,3133,3845,6500,6031,local,local,3436,2542
5edfce96b1ba5534bb543b6f6f63620039558e26,https://yampugouat.hotelracks.com/home/index,269.7480417,ap-south-1,1763,868,1352,4957,1715,local,local,3194,605
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://www.facebook.com/plugins/like.php?href=http://www.facebook.com/buyandship.com.tw/&layout=button_count&action=like&share=false&size=small,173.4050416,ap-south-1,501,435,438,755,348,local,browserstack,254,-88.5
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://www.youtube.com/embed/lUwwWWsLLJ0?rel=0,339.824125,ap-south-1,1183,682,607,2297,1378,local,local,1114,733.5
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://www.buyandship.com.tw/blog/2019/03/19/%E3%80%90%E9%97%9C%E7%A8%85gg%E4%BA%86%E3%80%91%E5%85%A8%E7%B7%9A%E5%8F%B0%E7%81%A3%E9%80%B2%E5%8F%A3%E9%97%9C%E7%A8%85%E9%83%BD%E5%85%8D%E4%BA%86%EF%BC%8C%E5%9B%A0%E7%82%BAbuyandship%E5%85%A8/,414.9970416,ap-south-1,4216,3887,3890,5124,4103,local,local,908,214.5
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://ws-na.assoc-amazon.com/widgets/cm?o=1&p=42&l=ur1&category=amazonhomepage&f=ifr&linkID=560c3bb814cd54fc26e22707fced58b1&t=thbuanshbl-20&tracking_id=thbuanshbl-20,1722.957125,ap-south-1,2138,1942,2364,1459,1386,browserstack,browserstack,-679,-767
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://www.facebook.com/plugins/feedback.php?app_id=778362808998189&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df33bf8368507c94%26domain%3Dwww.buyandship.com.tw%26origin%3Dhttps%253A%252F%252Fwww.buyandship.com.tw%252Ff5aba721853894%26relation%3Dparent.parent&container_width=335&height=100&href=https%3A%2F%2Fwww.buyandship.com.tw%2Fblog%2F2019%2F03%2F19%2F%25E3%2580%2590%25E9%2597%259C%25E7%25A8%2585gg%25E4%25BA%2586%25E3%2580%2591%25E5%2585%25A8%25E7%25B7%259A%25E5%258F%25B0%25E7%2581%25A3%25E9%2580%25B2%25E5%258F%25A3%25E9%2597%259C%25E7%25A8%2585%25E9%2583%25BD%25E5%2585%258D%25E4%25BA%2586%25EF%25BC%258C%25E5%259B%25A0%25E7%2582%25BAbuyandship%25E5%2585%25A8%2F&locale=en_US&mobile=true&numposts=5&sdk=joey&refsrc=http%3A%2F%2Fwww.buyandship.com.tw%2Fblog%2F2019%2F03%2F19%2F%25E3%2580%2590%25E9%2597%259C%25E7%25A8%2585gg%25E4%25BA%2586%25E3%2580%2591%25E5%2585%25A8%25E7%25B7%259A%25E5%258F%25B0%25E7%2581%25A3%25E9%2580%25B2%25E5%258F%25A3%25E9%2597%259C%25E7%25A8%2585%25E9%2583%25BD%25E5%2585%258D%25E4%25BA%2586%25EF%25BC%258C%25E5%259B%25A0%25E7%2582%25BAbuyandship%25E5%2585%25A8%2F&_rdr,1034.584208,ap-south-1,775,843,834,1648,1138,local,local,873,299.5
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://www.buyandship.com.tw/blog/2019/12/13/%e3%80%90%e6%8a%98%e6%89%a3%e6%83%85%e5%a0%b1%e7%ab%99%e3%80%91%e5%8f%b0%e7%81%a3%e5%ae%b6%e9%95%b7%e4%b9%9f%e6%84%9b%e7%9a%84-carters%e7%ab%a5%e8%a3%9d%e6%9c%80%e4%bd%8e%e5%8f%aa%e8%a6%81us/,316.3857917,ap-south-1,3955,3793,4058,4286,3370,local,browserstack,331,-555.5
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://www.facebook.com/plugins/feedback.php?app_id=778362808998189&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df1a879f076b3a94%26domain%3Dwww.buyandship.com.tw%26origin%3Dhttps%253A%252F%252Fwww.buyandship.com.tw%252Ff33f94738db4858%26relation%3Dparent.parent&container_width=335&height=100&href=https%3A%2F%2Fwww.buyandship.com.tw%2Fblog%2F2019%2F12%2F13%2F%25e3%2580%2590%25e6%258a%2598%25e6%2589%25a3%25e6%2583%2585%25e5%25a0%25b1%25e7%25ab%2599%25e3%2580%2591%25e5%258f%25b0%25e7%2581%25a3%25e5%25ae%25b6%25e9%2595%25b7%25e4%25b9%259f%25e6%2584%259b%25e7%259a%2584-carters%25e7%25ab%25a5%25e8%25a3%259d%25e6%259c%2580%25e4%25bd%258e%25e5%258f%25aa%25e8%25a6%2581us%2F&locale=en_US&mobile=true&numposts=5&sdk=joey&refsrc=http%3A%2F%2Fwww.buyandship.com.tw%2Fblog%2F2019%2F12%2F13%2F%25e3%2580%2590%25e6%258a%2598%25e6%2589%25a3%25e6%2583%2585%25e5%25a0%25b1%25e7%25ab%2599%25e3%2580%2591%25e5%258f%25b0%25e7%2581%25a3%25e5%25ae%25b6%25e9%2595%25b7%25e4%25b9%259f%25e6%2584%259b%25e7%259a%2584-carters%25e7%25ab%25a5%25e8%25a3%259d%25e6%259c%2580%25e4%25bd%258e%25e5%258f%25aa%25e8%25a6%2581us%2F&_rdr,690.1137917,ap-south-1,685,614,607,1358,992,local,local,673,381.5
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://www.buyandship.com.tw/campaigns/christmasyearendsale2019/,383.0457916,ap-south-1,4467,1256,1424,4328,2200,browserstack,local,-139,860
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://s.union.360.cn/proxy.html,1685.674667,ap-south-1,1582,37,40,1461,1232,browserstack,local,-121,1193.5
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://360fenxi.mediav.com/mediav.html,2212.760083,ap-south-1,5552,38,40,6032,1242,local,local,480,1203
ee9697e7145fc7e40c5e75089feb684c4879f39b,https://www.buyandship.com.tw/shopping/,534.2167916,ap-south-1,3481,1394,1666,6187,2288,local,local,2706,758
0dd52235c8f413d947573192608753dc6ca94500,https://www.buyandship.com.tw/reset-password/,240.07575,ap-south-1,1173,1116,1129,1938,1663,local,local,765,540.5
0dd52235c8f413d947573192608753dc6ca94500,https://www.buyandship.com.tw/login/?redirect=account,120.6935417,ap-south-1,1671,1484,1465,2431,1768,local,local,760,293.5
0dd52235c8f413d947573192608753dc6ca94500,https://www.buyandship.com.tw/account/,597.069,ap-south-1,1661,1599,1550,3453,1942,local,local,1792,367.5
0dd52235c8f413d947573192608753dc6ca94500,https://www.buyandship.com.tw/account/warehouses/,474.913625,ap-south-1,1595,1556,1566,2155,1739,local,local,560,178
0dd52235c8f413d947573192608753dc6ca94500,https://www.buyandship.com.tw/blog/categories/shopping/,517.2449167,ap-south-1,3700,3660,3971,5033,3751,local,browserstack,1333,-64.5
0dd52235c8f413d947573192608753dc6ca94500,https://www.buyandship.com.tw/blog/2019/12/13/%e3%80%90the-cambridge-satchel-company%e3%80%91-%e6%89%8b%e5%b7%a5%e7%9c%9f%e7%9a%ae%e8%8b%b1%e5%80%ab%e5%8a%8d%e6%a9%8b%e5%8c%85-%e5%b0%8f%e5%a4%a9%e5%90%8e%e6%b3%b0%e5%8b%92%e6%96%af%e7%a7%81/,226.1431667,ap-south-1,4009,3921,3827,4902,4433,local,local,893,559
0dd52235c8f413d947573192608753dc6ca94500,https://www.facebook.com/plugins/feedback.php?app_id=778362808998189&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df2c90dd4518538c%26domain%3Dwww.buyandship.com.tw%26origin%3Dhttps%253A%252F%252Fwww.buyandship.com.tw%252Ff29687c9ddf5696%26relation%3Dparent.parent&container_width=335&height=100&href=https%3A%2F%2Fwww.buyandship.com.tw%2Fblog%2F2019%2F12%2F13%2F%25e3%2580%2590the-cambridge-satchel-company%25e3%2580%2591-%25e6%2589%258b%25e5%25b7%25a5%25e7%259c%259f%25e7%259a%25ae%25e8%258b%25b1%25e5%2580%25ab%25e5%258a%258d%25e6%25a9%258b%25e5%258c%2585-%25e5%25b0%258f%25e5%25a4%25a9%25e5%2590%258e%25e6%25b3%25b0%25e5%258b%2592%25e6%2596%25af%25e7%25a7%2581%2F&locale=en_US&mobile=true&numposts=5&sdk=joey&refsrc=http%3A%2F%2Fwww.buyandship.com.tw%2F&_rdr,654.4523333,ap-south-1,656,648,638,1181,918,local,local,525,275
0dd52235c8f413d947573192608753dc6ca94500,https://www.buyandship.com.tw/blog/categories/news/,482.2725417,ap-south-1,3794,3673,3786,3577,2890,browserstack,browserstack,-217,-839.5
a32f53f0127f075c99d5214b28f0b4349314aedf,https://drifttest.wpengine.com/customize-your-gift/,5498.496208,ap-south-1,3792,2489,2387,9764,3334,local,local,5972,896
a32f53f0127f075c99d5214b28f0b4349314aedf,https://drifttest.wpengine.com/get-started/,4522.039792,ap-south-1,2886,1822,1735,5802,1743,local,browserstack,2916,-35.5
a32f53f0127f075c99d5214b28f0b4349314aedf,https://drifttest.wpengine.com/cart/,4617.953958,ap-south-1,3190,3329,3287,2535,1964,browserstack,browserstack,-655,-1344
a32f53f0127f075c99d5214b28f0b4349314aedf,https://drifttest.wpengine.com/coffee-gifts/,689.96475,ap-south-1,3427,2290,2532,4205,2438,local,local,778,27
e4b2be00f5b3b7ada4628634ad33ddc6a204d541,https://cdn.iubenda.com/cookie_solution/iframe_bridge.html?origin=https%3A%2F%2Fwww.flashrouters.com%2F&meth=%22compact%22,58.10983333,ap-south-1,339,40,43,290,66,browserstack,local,-49,24.5
f92cd56726755b96f0ad3d7ba87154dc4fc6f469,https://www.trainingmask.com/#ccart-trigger-80433127.0,2055.140208,ap-south-1,8549,6453,5196,9490,5242,local,browserstack,941,-582.5
627cab6c526bc5ca7876dee7f35b51aa5d1dabea,https://mjhstudios.myshopify.com/,328.2650417,ap-south-1,5442,2999,2346,9291,4747,local,local,3849,2074.5
be017e3ec4381422d03b3597e86f68ecebe716b6,https://mjhstudios.myshopify.com/collections/shoes,312.9160417,ap-south-1,5219,2022,1929,4409,2941,browserstack,local,-810,965.5
be017e3ec4381422d03b3597e86f68ecebe716b6,https://mjhstudios.myshopify.com/products/leather-bow-ankle-strap-sandals-valentino?variant=31388879945776,534.2122917,ap-south-1,3249,1946,2079,4392,2287,local,local,1143,274.5
be017e3ec4381422d03b3597e86f68ecebe716b6,https://mjhstudios.myshopify.com/pages/about-us,472.5328333,ap-south-1,1813,984,1101,2012,1214,local,local,199,171.5
be017e3ec4381422d03b3597e86f68ecebe716b6,https://mjhstudios.myshopify.com/pages/contact,292.3140833,ap-south-1,3272,2044,2043,2605,1883,browserstack,browserstack,-667,-160.5
